Doc,Topic,Score,Title
Doc61,Topic2,0.222,KING GRISLY-BEARD
Doc61,Topic4,0.075,KING GRISLY-BEARD
Doc61,Topic6,0.066,KING GRISLY-BEARD
Doc61,Topic9,0.081,KING GRISLY-BEARD
Doc61,Topic8,0.085,KING GRISLY-BEARD
Doc62,Topic1,0.192,IRON HANS
Doc62,Topic3,0.069,IRON HANS
Doc62,Topic2,0.205,IRON HANS
Doc62,Topic6,0.086,IRON HANS
Doc62,Topic9,0.251,IRON HANS
Doc62,Topic8,0.061,IRON HANS
Doc63,Topic9,0.122,CAT-SKIN
Doc63,Topic10,0.117,CAT-SKIN
Doc63,Topic1,0.053,CAT-SKIN
Doc63,Topic2,0.462,CAT-SKIN
Doc63,Topic4,0.099,CAT-SKIN
Doc64,Topic10,0.052,SNOW-WHITE AND ROSE-RED
Doc64,Topic1,0.135,SNOW-WHITE AND ROSE-RED
Doc64,Topic5,0.158,SNOW-WHITE AND ROSE-RED
Doc64,Topic6,0.078,SNOW-WHITE AND ROSE-RED
Doc64,Topic9,0.370,SNOW-WHITE AND ROSE-RED
Doc64,Topic8,0.069,SNOW-WHITE AND ROSE-RED
